block,row,col,Genotype,pop,mf,rep,elevation.group,elev_m,Lat,Long,GrwSsn_GD_Recent,GrwSsn_GD_Historical,Wtr_Year_GD_Recent,Wtr_Year_GD_Historical,Geographic_Dist,Elev_Dist,Establishment,SurvtoRep_Y1,flowers,fruits,Total_Fitness,ProbFruits
D2,26,B,BH_5_15,BH,5,15,Low,511.4294422,37.40985,-119.96458,0.20863150010047643,0.2480781626442624,0.22583474182538152,0.23216986351302016,202681.18817083153,-495.4294422,1,1,10,2,2,1
D2,31,B,TM2_4_11,TM2,4,11,Low,379.1526973,39.59255,-121.55072,0.40947349333616967,0.35035897406878463,0.3053494140449003,0.2804399974651661,119699.84840825829,-363.1526973,1,1,18,250,250,1
D2,37,B,TM2_6_5,TM2,6,5,Low,379.1526973,39.59255,-121.55072,0.40947349333616967,0.35035897406878463,0.3053494140449003,0.2804399974651661,119699.84840825829,-363.1526973,1,1,NA,0,0,0
D2,29,D,BH_2_9,BH,2,9,Low,511.4294422,37.40985,-119.96458,0.20863150010047643,0.2480781626442624,0.22583474182538152,0.23216986351302016,202681.18817083153,-495.4294422,1,1,0,2,2,1
D2,35,D,BH_3_6,BH,3,6,Low,511.4294422,37.40985,-119.96458,0.20863150010047643,0.2480781626442624,0.22583474182538152,0.23216986351302016,202681.18817083153,-495.4294422,1,1,33,286,286,1
F1,8,A,TM2_2_2,TM2,2,2,Low,379.1526973,39.59255,-121.55072,0.40947349333616967,0.35035897406878463,0.3053494140449003,0.2804399974651661,119699.84840825829,-363.1526973,1,1,NA,0,0,0
F1,4,C,TM2_5_7,TM2,5,7,Low,379.1526973,39.59255,-121.55072,0.40947349333616967,0.35035897406878463,0.3053494140449003,0.2804399974651661,119699.84840825829,-363.1526973,1,1,4,661,661,1
F1,6,C,DPR_6_9,DPR,6,9,Mid,1018.591893,39.22846,-120.81518,0.2429127311932732,0.1895683074845188,0.4602717482119945,0.44225066919664874,114174.7019570362,-1002.591893,1,1,NA,0,0,0
F2,35,D,BH_2_1,BH,2,1,Low,511.4294422,37.40985,-119.96458,0.20863150010047643,0.2480781626442624,0.22583474182538152,0.23216986351302016,202681.18817083153,-495.4294422,1,1,8,35,35,1
F2,40,C,DPR_7_4,DPR,7,4,Mid,1018.591893,39.22846,-120.81518,0.2429127311932732,0.1895683074845188,0.4602717482119945,0.44225066919664874,114174.7019570362,-1002.591893,1,1,NA,0,0,0
F2,40,D,TM2_1_4,TM2,1,4,Low,379.1526973,39.59255,-121.55072,0.40947349333616967,0.35035897406878463,0.3053494140449003,0.2804399974651661,119699.84840825829,-363.1526973,1,1,5,4,4,1
H1,4,B,BH_2_12,BH,2,12,Low,511.4294422,37.40985,-119.96458,0.20863150010047643,0.2480781626442624,0.22583474182538152,0.23216986351302016,202681.18817083153,-495.4294422,1,1,0,0,0,0
H1,5,B,SC_4_2,SC,4,2,Low,421.5178299,38.41167,-120.73583000000001,0.2599068660312357,0.2472018352626114,0.19208256358582085,0.22299687308917487,92249.6541866876,-405.5178299,1,1,0,0,0,0
H1,12,B,FR_2_8,FR,2,8,Mid,787,40.01362,-121.18498,0.2391514394596413,0.2555857531388237,0.34940191931493975,0.3810693290179083,172742.68874491952,-771,1,1,NA,0,0,0
H1,15,B,CC_3_3,CC,3,3,Low,313,39.58597,-121.43311,0.1809452818790792,0.2794449917448481,0.2741580240096135,0.2568375034917601,121108.5985814656,-297,1,1,NA,0,0,0
H1,16,A,CC_4_10,CC,4,10,Low,313,39.58597,-121.43311,0.1809452818790792,0.2794449917448481,0.2741580240096135,0.2568375034917601,121108.5985814656,-297,1,1,NA,0,0,0
H1,17,B,DPR_5_2,DPR,5,2,Mid,1018.591893,39.22846,-120.81518,0.2429127311932732,0.1895683074845188,0.4602717482119945,0.44225066919664874,114174.7019570362,-1002.591893,1,1,116,0,0,0
H1,19,A,TM2_5_1,TM2,5,1,Low,379.1526973,39.59255,-121.55072,0.40947349333616967,0.35035897406878463,0.3053494140449003,0.2804399974651661,119699.84840825829,-363.1526973,1,1,111,25,25,1
H2,24,B,BH_5_29,BH,5,29,Low,511.4294422,37.40985,-119.96458,0.20863150010047643,0.2480781626442624,0.22583474182538152,0.23216986351302016,202681.18817083153,-495.4294422,1,1,44,508,508,1
H2,36,B,TM2_3_1,TM2,3,1,Low,379.1526973,39.59255,-121.55072,0.40947349333616967,0.35035897406878463,0.3053494140449003,0.2804399974651661,119699.84840825829,-363.1526973,1,1,183,255,255,1
H1,6,C,TM2_1_5,TM2,1,5,Low,379.1526973,39.59255,-121.55072,0.40947349333616967,0.35035897406878463,0.3053494140449003,0.2804399974651661,119699.84840825829,-363.1526973,1,1,NA,0,0,0
H1,15,C,CP2_3_10,CP2,3,10,High,2244.132886,38.66169,-120.13065,0.33632679367690843,0.33111720010767143,0.6006224071334514,0.6028634329364414,144473.26494042546,-2228.132886,1,1,5,144,144,1
H2,25,C,DPR_2_6,DPR,2,6,Mid,1018.591893,39.22846,-120.81518,0.2429127311932732,0.1895683074845188,0.4602717482119945,0.44225066919664874,114174.7019570362,-1002.591893,1,1,NA,0,0,0
H2,30,D,TM2_1_6,TM2,1,6,Low,379.1526973,39.59255,-121.55072,0.40947349333616967,0.35035897406878463,0.3053494140449003,0.2804399974651661,119699.84840825829,-363.1526973,1,1,NA,0,0,0
H2,32,C,SC_6_3,SC,6,3,Low,421.5178299,38.41167,-120.73583000000001,0.2599068660312357,0.2472018352626114,0.19208256358582085,0.22299687308917487,92249.6541866876,-405.5178299,1,1,34,26,26,1
J1,5,B,TM2_3_10,TM2,3,10,Low,379.1526973,39.59255,-121.55072,0.40947349333616967,0.35035897406878463,0.3053494140449003,0.2804399974651661,119699.84840825829,-363.1526973,1,1,67,498,498,1
J1,6,B,DPR_6_10,DPR,6,10,Mid,1018.591893,39.22846,-120.81518,0.2429127311932732,0.1895683074845188,0.4602717482119945,0.44225066919664874,114174.7019570362,-1002.591893,1,1,1,0,0,0
J1,19,B,BH_3_11,BH,3,11,Low,511.4294422,37.40985,-119.96458,0.20863150010047643,0.2480781626442624,0.22583474182538152,0.23216986351302016,202681.18817083153,-495.4294422,1,1,0,0,0,0
J2,28,B,WL2_3_4,WL2,3,4,High,2020.115818,38.8263,-120.25242,0.2707707704159816,0.27680813573486934,0.5828742275237192,0.5656479680106546,136970.70632835763,-2004.115818,1,1,12,44,44,1
J2,31,A,TM2_4_12,TM2,4,12,Low,379.1526973,39.59255,-121.55072,0.40947349333616967,0.35035897406878463,0.3053494140449003,0.2804399974651661,119699.84840825829,-363.1526973,1,1,8,250,250,1
J2,33,B,TM2_2_6,TM2,2,6,Low,379.1526973,39.59255,-121.55072,0.40947349333616967,0.35035897406878463,0.3053494140449003,0.2804399974651661,119699.84840825829,-363.1526973,1,1,NA,0,0,0
J2,37,B,BH_1_7,BH,1,7,Low,511.4294422,37.40985,-119.96458,0.20863150010047643,0.2480781626442624,0.22583474182538152,0.23216986351302016,202681.18817083153,-495.4294422,1,1,15,31,31,1
J1,10,C,BH_3_1,BH,3,1,Low,511.4294422,37.40985,-119.96458,0.20863150010047643,0.2480781626442624,0.22583474182538152,0.23216986351302016,202681.18817083153,-495.4294422,1,1,23,134,134,1
J1,13,C,TM2_6_7,TM2,6,7,Low,379.1526973,39.59255,-121.55072,0.40947349333616967,0.35035897406878463,0.3053494140449003,0.2804399974651661,119699.84840825829,-363.1526973,1,1,20,546,546,1
J1,19,C,BH_5_20,BH,5,20,Low,511.4294422,37.40985,-119.96458,0.20863150010047643,0.2480781626442624,0.22583474182538152,0.23216986351302016,202681.18817083153,-495.4294422,1,1,149,422,422,1
J2,23,D,BH_4_9,BH,4,9,Low,511.4294422,37.40985,-119.96458,0.20863150010047643,0.2480781626442624,0.22583474182538152,0.23216986351302016,202681.18817083153,-495.4294422,1,1,3,44,44,1
J2,25,D,BH_2_5,BH,2,5,Low,511.4294422,37.40985,-119.96458,0.20863150010047643,0.2480781626442624,0.22583474182538152,0.23216986351302016,202681.18817083153,-495.4294422,1,1,21,137,137,1
L1,4,A,SC_5_8,SC,5,8,Low,421.5178299,38.41167,-120.73583000000001,0.2599068660312357,0.2472018352626114,0.19208256358582085,0.22299687308917487,92249.6541866876,-405.5178299,1,1,NA,0,0,0
L1,10,A,BH_2_14,BH,2,14,Low,511.4294422,37.40985,-119.96458,0.20863150010047643,0.2480781626442624,0.22583474182538152,0.23216986351302016,202681.18817083153,-495.4294422,1,1,6,4,4,1
L1,15,B,TM2_3_12,TM2,3,12,Low,379.1526973,39.59255,-121.55072,0.40947349333616967,0.35035897406878463,0.3053494140449003,0.2804399974651661,119699.84840825829,-363.1526973,1,1,NA,0,0,0
L1,18,A,TM2_7_11,TM2,7,11,Low,379.1526973,39.59255,-121.55072,0.40947349333616967,0.35035897406878463,0.3053494140449003,0.2804399974651661,119699.84840825829,-363.1526973,1,1,NA,0,0,0
L2,30,A,TM2_1_12,TM2,1,12,Low,379.1526973,39.59255,-121.55072,0.40947349333616967,0.35035897406878463,0.3053494140449003,0.2804399974651661,119699.84840825829,-363.1526973,1,1,10,0,0,0
L2,34,B,TM2_5_8,TM2,5,8,Low,379.1526973,39.59255,-121.55072,0.40947349333616967,0.35035897406878463,0.3053494140449003,0.2804399974651661,119699.84840825829,-363.1526973,1,1,21,8,8,1
L2,35,A,TM2_4_9,TM2,4,9,Low,379.1526973,39.59255,-121.55072,0.40947349333616967,0.35035897406878463,0.3053494140449003,0.2804399974651661,119699.84840825829,-363.1526973,1,1,44,452,452,1
L1,3,C,SQ3_4_3,SQ3,4,3,High,2373.170732,36.72109,-118.84933,0.3721241723098737,0.3789304000925028,0.5146283017384257,0.5639141526227397,327931.23361382366,-2357.170732,1,1,6,1,1,1
L1,4,D,BH_4_10,BH,4,10,Low,511.4294422,37.40985,-119.96458,0.20863150010047643,0.2480781626442624,0.22583474182538152,0.23216986351302016,202681.18817083153,-495.4294422,1,1,28,80,80,1
L1,13,C,BH_3_13,BH,3,13,Low,511.4294422,37.40985,-119.96458,0.20863150010047643,0.2480781626442624,0.22583474182538152,0.23216986351302016,202681.18817083153,-495.4294422,1,1,54,301,301,1
L1,13,D,BH_5_22,BH,5,22,Low,511.4294422,37.40985,-119.96458,0.20863150010047643,0.2480781626442624,0.22583474182538152,0.23216986351302016,202681.18817083153,-495.4294422,1,1,10,4,4,1
L2,30,D,TM2_3_4,TM2,3,4,Low,379.1526973,39.59255,-121.55072,0.40947349333616967,0.35035897406878463,0.3053494140449003,0.2804399974651661,119699.84840825829,-363.1526973,1,1,51,27,27,1
L2,41,D,BH_4_1,BH,4,1,Low,511.4294422,37.40985,-119.96458,0.20863150010047643,0.2480781626442624,0.22583474182538152,0.23216986351302016,202681.18817083153,-495.4294422,1,1,22,1,1,1
