block,row,col,Genotype,pop,mf,rep,elevation.group,elev_m,Lat,Long,flowers,fruits,FrFlN,GrwSsn_GD_Recent,GrwSsn_GD_Historical,Wtr_Year_GD_Recent,Wtr_Year_GD_Historical,UCD_Lat,UCD_Long,UCD_Elev,Geographic_Dist,Elev_Dist
D1,4,D,YO7_8_1,YO7,8,1,High,2469.978665,37.80903,-119.56605,0,0,0,0.39806151128351625,0.39458929857912795,0.5787871938125694,0.5897844310773136,38.5325,-121.783,16,210062.73629653853,-2453.978665
D2,26,B,BH_5_15,BH,5,15,Low,511.4294422,37.40985,-119.96458,10,2,12,0.20863150010047643,0.2480781626442624,0.22583474182538152,0.23216986351302016,38.5325,-121.783,16,202681.18817083153,-495.4294422
D2,29,C,BH_4_13,BH,4,13,Low,511.4294422,37.40985,-119.96458,0,0,0,0.20863150010047643,0.2480781626442624,0.22583474182538152,0.23216986351302016,38.5325,-121.783,16,202681.18817083153,-495.4294422
D2,29,D,BH_2_9,BH,2,9,Low,511.4294422,37.40985,-119.96458,0,2,2,0.20863150010047643,0.2480781626442624,0.22583474182538152,0.23216986351302016,38.5325,-121.783,16,202681.18817083153,-495.4294422
D2,30,B,BH_4_3,BH,4,3,Low,511.4294422,37.40985,-119.96458,0,0,0,0.20863150010047643,0.2480781626442624,0.22583474182538152,0.23216986351302016,38.5325,-121.783,16,202681.18817083153,-495.4294422
D2,31,B,TM2_4_11,TM2,4,11,Low,379.1526973,39.59255,-121.55072,18,250,268,0.40947349333616967,0.35035897406878463,0.3053494140449003,0.2804399974651661,38.5325,-121.783,16,119699.84840825829,-363.1526973
D2,35,D,BH_3_6,BH,3,6,Low,511.4294422,37.40985,-119.96458,33,286,319,0.20863150010047643,0.2480781626442624,0.22583474182538152,0.23216986351302016,38.5325,-121.783,16,202681.18817083153,-495.4294422
F1,4,C,TM2_5_7,TM2,5,7,Low,379.1526973,39.59255,-121.55072,4,661,665,0.40947349333616967,0.35035897406878463,0.3053494140449003,0.2804399974651661,38.5325,-121.783,16,119699.84840825829,-363.1526973
F1,15,A,BH_6_9,BH,6,9,Low,511.4294422,37.40985,-119.96458,0,0,0,0.20863150010047643,0.2480781626442624,0.22583474182538152,0.23216986351302016,38.5325,-121.783,16,202681.18817083153,-495.4294422
F2,27,B,WL2_3_13,WL2,3,13,High,2020.115818,38.8263,-120.25242,0,0,0,0.2707707704159816,0.27680813573486934,0.5828742275237192,0.5656479680106546,38.5325,-121.783,16,136970.70632835763,-2004.115818
F2,29,B,BH_4_5,BH,4,5,Low,511.4294422,37.40985,-119.96458,0,0,0,0.20863150010047643,0.2480781626442624,0.22583474182538152,0.23216986351302016,38.5325,-121.783,16,202681.18817083153,-495.4294422
F2,35,D,BH_2_1,BH,2,1,Low,511.4294422,37.40985,-119.96458,8,35,43,0.20863150010047643,0.2480781626442624,0.22583474182538152,0.23216986351302016,38.5325,-121.783,16,202681.18817083153,-495.4294422
F2,40,B,BH_5_12,BH,5,12,Low,511.4294422,37.40985,-119.96458,0,0,0,0.20863150010047643,0.2480781626442624,0.22583474182538152,0.23216986351302016,38.5325,-121.783,16,202681.18817083153,-495.4294422
F2,40,D,TM2_1_4,TM2,1,4,Low,379.1526973,39.59255,-121.55072,5,4,9,0.40947349333616967,0.35035897406878463,0.3053494140449003,0.2804399974651661,38.5325,-121.783,16,119699.84840825829,-363.1526973
H1,4,B,BH_2_12,BH,2,12,Low,511.4294422,37.40985,-119.96458,0,0,0,0.20863150010047643,0.2480781626442624,0.22583474182538152,0.23216986351302016,38.5325,-121.783,16,202681.18817083153,-495.4294422
H1,5,B,SC_4_2,SC,4,2,Low,421.5178299,38.41167,-120.73583000000001,0,0,0,0.2599068660312357,0.2472018352626114,0.19208256358582085,0.22299687308917487,38.5325,-121.783,16,92249.6541866876,-405.5178299
H1,8,B,BH_3_9,BH,3,9,Low,511.4294422,37.40985,-119.96458,0,0,0,0.20863150010047643,0.2480781626442624,0.22583474182538152,0.23216986351302016,38.5325,-121.783,16,202681.18817083153,-495.4294422
H1,10,A,WL2_4_4,WL2,4,4,High,2020.115818,38.8263,-120.25242,0,0,0,0.2707707704159816,0.27680813573486934,0.5828742275237192,0.5656479680106546,38.5325,-121.783,16,136970.70632835763,-2004.115818
H1,10,C,BH_6_11,BH,6,11,Low,511.4294422,37.40985,-119.96458,0,0,0,0.20863150010047643,0.2480781626442624,0.22583474182538152,0.23216986351302016,38.5325,-121.783,16,202681.18817083153,-495.4294422
H1,13,B,CP2_3_3,CP2,3,3,High,2244.132886,38.66169,-120.13065,0,0,0,0.33632679367690843,0.33111720010767143,0.6006224071334514,0.6028634329364414,38.5325,-121.783,16,144473.26494042546,-2228.132886
H1,14,A,BH_5_3,BH,5,3,Low,511.4294422,37.40985,-119.96458,0,0,0,0.20863150010047643,0.2480781626442624,0.22583474182538152,0.23216986351302016,38.5325,-121.783,16,202681.18817083153,-495.4294422
H1,14,D,SC_5_3,SC,5,3,Low,421.5178299,38.41167,-120.73583000000001,0,0,0,0.2599068660312357,0.2472018352626114,0.19208256358582085,0.22299687308917487,38.5325,-121.783,16,92249.6541866876,-405.5178299
H1,15,C,CP2_3_10,CP2,3,10,High,2244.132886,38.66169,-120.13065,5,144,149,0.33632679367690843,0.33111720010767143,0.6006224071334514,0.6028634329364414,38.5325,-121.783,16,144473.26494042546,-2228.132886
H1,17,B,DPR_5_2,DPR,5,2,Mid,1018.591893,39.22846,-120.81518,116,0,116,0.2429127311932732,0.1895683074845188,0.4602717482119945,0.44225066919664874,38.5325,-121.783,16,114174.70195703619,-1002.591893
H1,19,A,TM2_5_1,TM2,5,1,Low,379.1526973,39.59255,-121.55072,111,25,136,0.40947349333616967,0.35035897406878463,0.3053494140449003,0.2804399974651661,38.5325,-121.783,16,119699.84840825829,-363.1526973
H2,23,C,BH_7_22,BH,7,22,Low,511.4294422,37.40985,-119.96458,0,0,0,0.20863150010047643,0.2480781626442624,0.22583474182538152,0.23216986351302016,38.5325,-121.783,16,202681.18817083153,-495.4294422
H2,24,B,BH_5_29,BH,5,29,Low,511.4294422,37.40985,-119.96458,44,508,552,0.20863150010047643,0.2480781626442624,0.22583474182538152,0.23216986351302016,38.5325,-121.783,16,202681.18817083153,-495.4294422
H2,29,A,IH_7_14,IH,7,14,Low,454.1298385,39.09332,-120.92114,0,0,0,0.17546072107880004,0.19449052891511348,0.2858453001546184,0.2930394196667525,38.5325,-121.783,16,97396.347224609,-438.1298385
H2,32,C,SC_6_3,SC,6,3,Low,421.5178299,38.41167,-120.73583000000001,34,26,60,0.2599068660312357,0.2472018352626114,0.19208256358582085,0.22299687308917487,38.5325,-121.783,16,92249.6541866876,-405.5178299
H2,33,B,BH_4_7,BH,4,7,Low,511.4294422,37.40985,-119.96458,0,0,0,0.20863150010047643,0.2480781626442624,0.22583474182538152,0.23216986351302016,38.5325,-121.783,16,202681.18817083153,-495.4294422
H2,36,B,TM2_3_1,TM2,3,1,Low,379.1526973,39.59255,-121.55072,183,255,438,0.40947349333616967,0.35035897406878463,0.3053494140449003,0.2804399974651661,38.5325,-121.783,16,119699.84840825829,-363.1526973
J1,3,D,CP2_1_6,CP2,1,6,High,2244.132886,38.66169,-120.13065,0,0,0,0.33632679367690843,0.33111720010767143,0.6006224071334514,0.6028634329364414,38.5325,-121.783,16,144473.26494042546,-2228.132886
J1,5,B,TM2_3_10,TM2,3,10,Low,379.1526973,39.59255,-121.55072,67,498,565,0.40947349333616967,0.35035897406878463,0.3053494140449003,0.2804399974651661,38.5325,-121.783,16,119699.84840825829,-363.1526973
J1,6,B,DPR_6_10,DPR,6,10,Mid,1018.591893,39.22846,-120.81518,1,0,1,0.2429127311932732,0.1895683074845188,0.4602717482119945,0.44225066919664874,38.5325,-121.783,16,114174.70195703619,-1002.591893
J1,10,C,BH_3_1,BH,3,1,Low,511.4294422,37.40985,-119.96458,23,134,157,0.20863150010047643,0.2480781626442624,0.22583474182538152,0.23216986351302016,38.5325,-121.783,16,202681.18817083153,-495.4294422
J1,13,B,IH_6_13,IH,6,13,Low,454.1298385,39.09332,-120.92114,0,0,0,0.17546072107880004,0.19449052891511348,0.2858453001546184,0.2930394196667525,38.5325,-121.783,16,97396.347224609,-438.1298385
J1,13,C,TM2_6_7,TM2,6,7,Low,379.1526973,39.59255,-121.55072,20,546,566,0.40947349333616967,0.35035897406878463,0.3053494140449003,0.2804399974651661,38.5325,-121.783,16,119699.84840825829,-363.1526973
J1,19,B,BH_3_11,BH,3,11,Low,511.4294422,37.40985,-119.96458,0,0,0,0.20863150010047643,0.2480781626442624,0.22583474182538152,0.23216986351302016,38.5325,-121.783,16,202681.18817083153,-495.4294422
J1,19,C,BH_5_20,BH,5,20,Low,511.4294422,37.40985,-119.96458,149,422,571,0.20863150010047643,0.2480781626442624,0.22583474182538152,0.23216986351302016,38.5325,-121.783,16,202681.18817083153,-495.4294422
J2,23,D,BH_4_9,BH,4,9,Low,511.4294422,37.40985,-119.96458,3,44,47,0.20863150010047643,0.2480781626442624,0.22583474182538152,0.23216986351302016,38.5325,-121.783,16,202681.18817083153,-495.4294422
J2,25,A,SC_6_5,SC,6,5,Low,421.5178299,38.41167,-120.73583000000001,0,0,0,0.2599068660312357,0.2472018352626114,0.19208256358582085,0.22299687308917487,38.5325,-121.783,16,92249.6541866876,-405.5178299
J2,25,D,BH_2_5,BH,2,5,Low,511.4294422,37.40985,-119.96458,21,137,158,0.20863150010047643,0.2480781626442624,0.22583474182538152,0.23216986351302016,38.5325,-121.783,16,202681.18817083153,-495.4294422
J2,27,D,IH_7_9,IH,7,9,Low,454.1298385,39.09332,-120.92114,0,0,0,0.17546072107880004,0.19449052891511348,0.2858453001546184,0.2930394196667525,38.5325,-121.783,16,97396.347224609,-438.1298385
J2,28,B,WL2_3_4,WL2,3,4,High,2020.115818,38.8263,-120.25242,12,44,56,0.2707707704159816,0.27680813573486934,0.5828742275237192,0.5656479680106546,38.5325,-121.783,16,136970.70632835763,-2004.115818
J2,29,A,IH_4_7,IH,4,7,Low,454.1298385,39.09332,-120.92114,0,0,0,0.17546072107880004,0.19449052891511348,0.2858453001546184,0.2930394196667525,38.5325,-121.783,16,97396.347224609,-438.1298385
J2,30,C,BH_4_14,BH,4,14,Low,511.4294422,37.40985,-119.96458,0,0,0,0.20863150010047643,0.2480781626442624,0.22583474182538152,0.23216986351302016,38.5325,-121.783,16,202681.18817083153,-495.4294422
J2,31,A,TM2_4_12,TM2,4,12,Low,379.1526973,39.59255,-121.55072,8,250,258,0.40947349333616967,0.35035897406878463,0.3053494140449003,0.2804399974651661,38.5325,-121.783,16,119699.84840825829,-363.1526973
J2,32,D,BH_3_12,BH,3,12,Low,511.4294422,37.40985,-119.96458,0,0,0,0.20863150010047643,0.2480781626442624,0.22583474182538152,0.23216986351302016,38.5325,-121.783,16,202681.18817083153,-495.4294422
J2,37,B,BH_1_7,BH,1,7,Low,511.4294422,37.40985,-119.96458,15,31,46,0.20863150010047643,0.2480781626442624,0.22583474182538152,0.23216986351302016,38.5325,-121.783,16,202681.18817083153,-495.4294422
L1,3,C,SQ3_4_3,SQ3,4,3,High,2373.170732,36.72109,-118.84933,6,1,7,0.3721241723098737,0.3789304000925028,0.5146283017384257,0.5639141526227397,38.5325,-121.783,16,327931.23361382366,-2357.170732
L1,4,D,BH_4_10,BH,4,10,Low,511.4294422,37.40985,-119.96458,28,80,108,0.20863150010047643,0.2480781626442624,0.22583474182538152,0.23216986351302016,38.5325,-121.783,16,202681.18817083153,-495.4294422
L1,5,D,WL1_1_11,WL1,1,11,Mid,1613.837245,38.78608,-120.2143,0,0,0,0.147453418352489,0.18367479795813796,0.4708241657573696,0.4585796318884349,38.5325,-121.783,16,139250.8770804623,-1597.837245
L1,10,A,BH_2_14,BH,2,14,Low,511.4294422,37.40985,-119.96458,6,4,10,0.20863150010047643,0.2480781626442624,0.22583474182538152,0.23216986351302016,38.5325,-121.783,16,202681.18817083153,-495.4294422
L1,13,C,BH_3_13,BH,3,13,Low,511.4294422,37.40985,-119.96458,54,301,355,0.20863150010047643,0.2480781626442624,0.22583474182538152,0.23216986351302016,38.5325,-121.783,16,202681.18817083153,-495.4294422
L1,13,D,BH_5_22,BH,5,22,Low,511.4294422,37.40985,-119.96458,10,4,14,0.20863150010047643,0.2480781626442624,0.22583474182538152,0.23216986351302016,38.5325,-121.783,16,202681.18817083153,-495.4294422
L1,14,B,YO7_8_3,YO7,8,3,High,2469.978665,37.80903,-119.56605,0,0,0,0.39806151128351625,0.39458929857912795,0.5787871938125694,0.5897844310773136,38.5325,-121.783,16,210062.73629653853,-2453.978665
L2,29,D,BH_3_14,BH,3,14,Low,511.4294422,37.40985,-119.96458,0,0,0,0.20863150010047643,0.2480781626442624,0.22583474182538152,0.23216986351302016,38.5325,-121.783,16,202681.18817083153,-495.4294422
L2,30,A,TM2_1_12,TM2,1,12,Low,379.1526973,39.59255,-121.55072,10,0,10,0.40947349333616967,0.35035897406878463,0.3053494140449003,0.2804399974651661,38.5325,-121.783,16,119699.84840825829,-363.1526973
L2,30,D,TM2_3_4,TM2,3,4,Low,379.1526973,39.59255,-121.55072,51,27,78,0.40947349333616967,0.35035897406878463,0.3053494140449003,0.2804399974651661,38.5325,-121.783,16,119699.84840825829,-363.1526973
L2,34,B,TM2_5_8,TM2,5,8,Low,379.1526973,39.59255,-121.55072,21,8,29,0.40947349333616967,0.35035897406878463,0.3053494140449003,0.2804399974651661,38.5325,-121.783,16,119699.84840825829,-363.1526973
L2,35,A,TM2_4_9,TM2,4,9,Low,379.1526973,39.59255,-121.55072,44,452,496,0.40947349333616967,0.35035897406878463,0.3053494140449003,0.2804399974651661,38.5325,-121.783,16,119699.84840825829,-363.1526973
L2,40,D,BH_7_13,BH,7,13,Low,511.4294422,37.40985,-119.96458,0,0,0,0.20863150010047643,0.2480781626442624,0.22583474182538152,0.23216986351302016,38.5325,-121.783,16,202681.18817083153,-495.4294422
L2,41,D,BH_4_1,BH,4,1,Low,511.4294422,37.40985,-119.96458,22,1,23,0.20863150010047643,0.2480781626442624,0.22583474182538152,0.23216986351302016,38.5325,-121.783,16,202681.18817083153,-495.4294422
