block ,bed ,row ,col ,unique.ID ,bud.date ,flower.date ,fruit.date ,last.FL.date ,last.FR.date ,death.date ,missing.date,survey.notes 
NA ,A ,1,A ,TM2_6_11 ,,,,,,,,TM2 fruiting from 2023 
NA ,A ,6,B ,CC_3_3 ,,,,,,6/18/24,,
NA ,A ,16,B ,BH_3_3 ,,,,,,6/18/24,,6/18/24 No tag 
NA ,A ,17,A ,BH_7_3 ,6/18/24,7/2/24,7/9/24,8/13/24,8/20/24,10/2/24,,
NA ,A ,18,A ,BH_4_3 ,6/18/24,,7/23/24,,,8/20/24,,6/18/24 No tag /missed FL date 
NA ,A ,24,A ,WL2_7_9 ,6/18/24,6/18/24,7/2/24,8/13/24,8/27/24,10/2/24,,
NA ,A ,32,B ,IH_7_4 ,6/18/24,7/9/24,7/16/24,8/27/24,8/27/24,10/2/24,,8/20 tape fruit 8/27 stems with buds dead 
NA ,A ,35,A ,SC_8_4 ,6/18/24,7/2/24,7/16/24,8/20/24,8/27/24,10/2/24,,8/20 aphids 
NA ,A ,36,A ,BH_3_4 ,6/18/24,7/9/24,7/16/24,8/27/24,8/27/24,10/2/24,,8/20 tape fruit 
NA ,A ,39,B ,WL2_7_10 ,6/18/24,6/18/24,7/2/24,8/27/24,9/3/24,10/2/24,,8/20 tape fruit 
NA ,A ,43,A ,TM2_6_1 ,,,,,,,,TM2 fruiting from 2023 
NA ,A ,45,B ,IH_2_4 ,7/2/24,7/16/24,7/23/24,9/3/24,9/10/24,10/16/24,,
NA ,A ,49,A ,YO7_7_23 ,6/18/24,6/18/24,7/9/24,7/23/24,7/30/24,9/3/24,,fruit drying 8/6/24 / dehissing 8/13/24 
NA ,A ,53,A ,CC_4_4 ,6/18/24,7/2/24,7/23/24,8/20/24,8/27/24,10/2/24,,
NA ,A ,53,B ,BH_7_4 ,6/25/24,7/9/24,7/16/24,8/13/24,8/13/24,9/17/24,,9/17/24 No leaves 
NA ,A ,56,B ,TM2_2_12 ,,,,,,,,TM2 fruiting from 2023 
NA ,A ,14,D ,CC_8_3 ,6/18/24,,,,,7/9/24,,6/25/24 snapped off 7/12/24 resprouting 
NA ,A ,15,C ,CC_1_3 ,6/18/24,7/9/24,7/16/24,9/3/24,9/24/24,,,10/9 new flowers and buds
NA ,A ,17,D ,BH_2_3 ,6/18/24,7/2/24,7/9/24,9/3/24,9/10/24,,,8/27 main stem at last FR but side stem still active / 9/10 dehiscing 
NA ,A ,22,D ,SC_8_3 ,6/18/24,7/9/24,7/23/24,9/3/24,9/17/24,,,7/16 some buds dying 
NA ,A ,23,D ,TM2_3_3 ,,,,,,,,TM2 fruiting from 2023 
NA ,A ,36,C ,SC_2_4 ,6/18/24,7/2/24,7/9/24,8/6/24,8/6/24,10/2/24,,7/23 no FL but still buds 8/13 all buds and flowers are gone 9/17 No learts 
NA ,A ,44,C ,TM2_6_3 ,,,,,,,,TM2 fruiting from 2023 / 3 small rosettes nearby 
NA ,A ,45,D ,SC_4_4 ,6/18/24,7/2/24,7/16/24,8/13/24,8/13/24,10/2/24,,
NA ,A ,46,D ,SQ1_5_10 ,6/25/24,7/23/24,8/13/24,9/3/24,9/10/24,,,7/16 some buds look deformed or damaged 7/30 spider nest on leaf 
NA ,A ,50,D ,IH_6_4 ,7/9/24,7/16/24,7/23/24,8/27/24,8/27/24,10/2/24,,
NA ,A ,56,C ,IH_1_4 ,6/25/24,7/23/24,7/30/24,8/27/24,8/27/24,10/2/24,,7/16 some buds look deformed or damaged 8/20 tape 
NA ,A ,58,D ,YO7_7_13 ,6/18/24,6/18/24,7/2/24,8/6/24,8/13/24,9/3/24,,8/13/24 some dehiscing 8/27 many dehisced fruits 
NA ,B ,22,A ,IH_3_5 ,6/18/24,7/9/24,7/23/24,9/24/24,10/16/24,,,10/9 still budding /taped 
NA ,B ,25,A ,IH_6_5 ,6/18/24,7/9/24,7/16/24,10/23/24,10/23/24,,,7/30 buds dying 8/20 tape 10/9 tape 
NA ,B ,37,A ,TM2_1_16 ,,,,,,,,TM2 fruiting from 2023 
NA ,B ,42,A ,BH_2_5 ,6/18/24,7/2/24,7/9/24,8/13/24,8/13/24,10/2/24,,7/30 dying buds 9/17 dehisce 
NA ,B ,43,A ,BH_5_5 ,6/18/24,7/2/24,7/9/24,8/13/24,8/13/24,10/2/24,,9/17 dehisce 
NA ,B ,56,A ,SC_6_15 ,,7/9/24,7/23/24,8/20/24,8/27/24,10/2/24,,marked as budding without date / 8/20 many flowers dead and tape 
NA ,B ,57,A ,IH_4_4 ,,,,,,6/18/24,,
NA ,B ,19,D ,CC_2_6 ,6/18/24,7/2/24,7/16/24,9/3/24,9/10/24,10/9/24,,6/25/24 some buds being eaten 
NA ,B ,26,C ,IH_5_5 ,,,,,,6/18/24,,
NA ,B ,28,C ,BH_4_5 ,6/18/24,7/2/24,7/9/24,9/3/24,9/10/24,10/9/24,,7/30 some buds dying 8/20 tape 
NA ,B ,36,D ,TM2_1_4 ,,,,,,,,TM2 fruiting from 2023 
NA ,B ,43,D ,TM2_7_10 ,,,,,,,,TM2 fruiting from 2023 
NA ,B ,45,C ,WL2_1_11 ,6/18/24,6/18/24,7/16/24,8/27/24,9/3/24,9/24/24,,8/27 some fruits dehiscing 
NA ,B ,47,C ,YO7_4_6 ,6/18/24,7/9/24,7/16/24,8/13/24,8/13/24,9/24/24,,8/27 many fruits dehiscing 
NA ,B ,56,C ,TM2_1_3 ,7/9/24,7/16/24,7/23/24,8/20/24,8/20/24,10/2/24,,8/20 few buds left / dry flowers / tape 
NA ,B ,57,D ,BH_2_4 ,6/18/24,7/2/24,7/16/24,8/6/24,8/13/24,9/3/24,,6/18/24 no tag 7/30 some buds dying 8/20 tape 
A ,C ,1,A ,buffer ,,,,,,,,
A ,C ,1,B ,buffer ,,,,,,,,
A ,C ,2,A ,buffer ,,,,,,,,
A ,C ,2,B ,buffer ,,,,,,,,
A ,C ,3,A ,buffer ,,,,,,,,
A ,C ,3,B ,buffer ,,,,,,,,
A ,C ,4,A ,280,,,,,,7/2/24,,6/25/24 wilting 
A ,C ,4,B ,949,,,,,,7/23/24,,7/9/24 wilting 
A ,C ,5,A ,540,,,,,,7/2/24,,6/18/24 wilting 
A ,C ,5,B ,317,,,,,,,,
NA ,C ,6,A ,CC_1_6 ,6/18/24,,,,,7/16/24,,7/2/24 dying 
A ,C ,6,B ,1175,,,,,,7/9/24,,7/16 red pick no date assumed 7/9 
A ,C ,7,A ,1091,,,,,,7/2/24,,
A ,C ,7,B ,968,,,,,,7/2/24,,6/25/24 wilting 
A ,C ,8,A ,333,,,,,,7/16/24,,
A ,C ,8,B ,374,,,,,,7/2/24,,6/25/24 wilting 
A ,C ,9,B ,521,,,,,,7/2/24,,
A ,C ,10,A ,392,,,,,,7/16/24,,7/2/24 dying 
A ,C ,10,B ,1160,,,,,,7/2/24,,6/25/24 wilting 
A ,C ,11,A ,479,,,,,,6/25/24,,6/18/24 wilting 
A ,C ,11,B ,264,,,,,,7/2/24,,6/25/24 wilting 
A ,C ,12,A ,199,,,,,,7/2/24,,6/18/24 wilting 
A ,C ,12,B ,1102,,,,,,7/2/24,,6/25/24 wilting 
A ,C ,13,A ,344,,,,,,7/2/24,,6/18/24 top of stem wilting 
A ,C ,13,B ,1511,,,,,,6/25/24,,
A ,C ,14,A ,98,,,,,,6/25/24,,
A ,C ,14,B ,868,,,,,,7/16/24,,
A ,C ,15,A ,125,,,,,,7/2/24,,6/25/24 wilting 
A ,C ,15,B ,1007,,,,,,7/16/24,,
A ,C ,16,A ,1119,,,,,,7/2/24,,
A ,C ,16,B ,189,,,,,,6/18/24,,
A ,C ,17,A ,71,,,,,,7/16/24,,7/9 wilted 
A ,C ,17,B ,507,,,,,,7/2/24,,6/25/24 wilting 
A ,C ,18,A ,1336,,,,,,7/16/24,,7/9 wilted 
A ,C ,18,B ,980,,,,,,7/2/24,,
A ,C ,19,A ,NA ,,,,,,,,
A ,C ,19,B ,NA ,,,,,,,,
B ,C ,20,A ,413,,,,,,7/16/24,,6/25/24 odd white lines on leaves 
B ,C ,20,B ,698,,,,,,,,
B ,C ,21,A ,215,,,,,,7/16/24,,6/18/24 Powdery mildew 
B ,C ,21,B ,407,,,,,,,,
B ,C ,22,A ,532,,,,,,9/3/24,,
NA ,C ,22,B ,BH_6_7 ,6/18/24,7/2/24,7/9/24,8/20/24,8/20/24,10/2/24,,7/16 some fuits look sick 7/30 buds 8/13 flowers dead 8/20 tape 
B ,C ,23,A ,469,,,,,,8/13/24,,
B ,C ,23,B ,118,,,,,,,,
B ,C ,24,A ,281,,,,,,,,
B ,C ,24,B ,1459,,,,,,,,
B ,C ,25,A ,1275,,,,,,7/9/24,,
B ,C ,25,B ,72,,,,,,7/16/24,,7/9 wilted 
B ,C ,26,A ,494,,,,,,7/30/24,,
B ,C ,26,B ,154,,,,,,8/13/24,,
B ,C ,27,A ,1398,,,,,,7/16/24,,
B ,C ,27,B ,200,,,,,,,,7/23 heavily shaded by tree 
B ,C ,28,A ,480,,,,,,8/6/24,,Stem snapped still turgid 
B ,C ,28,B ,347,,,,,,6/18/24,,
B ,C ,29,A ,17,,,,,,6/18/24,,
B ,C ,29,B ,341,,,,,,,,
B ,C ,30,A ,1228,,,,,,,,
B ,C ,30,B ,513,,,,,,10/9/24,,9/3 very Purple 
B ,C ,31,A ,939,,,,,,,,
B ,C ,31,B ,543,,,,,,7/2/24,,6/25/24 wilting 
B ,C ,32,A ,1053,,,,,,7/16/24,,
B ,C ,32,B ,1279,,,,,,6/25/24,,
B ,C ,33,B ,183,,,,,,,,8/27 shaded by tree 
B ,C ,34,A ,776,,,,,,6/25/24,,
B ,C ,34,B ,2,,,,,,7/9/24,,
B ,C ,35,A ,136,,,,,,7/30/24,,
B ,C ,35,B ,1348,,,,,,7/2/24,,
B ,C ,36,A ,NA ,,,,,,,,
NA ,C ,36,B ,SC_2_19 ,6/25/24,7/23/24,8/6/24,,,8/13/24,,7/16 some buds dying 8/20 branch snapped 
C ,C ,37,A ,145,,,,,,7/2/24,,
C ,C ,37,B ,1289,,,,,,,,
C ,C ,38,A ,1362,,,,,,6/18/24,,
C ,C ,38,B ,128,,,,,,7/9/24,,7/16 red pick no date 
C ,C ,39,A ,1347,,,,,,7/16/24,,7/9 Very wilted 
C ,C ,39,B ,1003,,,,,,7/30/24,,
C ,C ,40,A ,1162,,,,,,8/20/24,,
NA ,C ,40,B ,BH_1_7 ,6/25/24,7/16/24,7/23/24,8/6/24,8/6/24,10/2/24,,8/20 tape 
C ,C ,41,A ,738,,,,,,7/16/24,,7/9 very wilted 
C ,C ,41,B ,100,,,,,,6/25/24,,6/18/24 Wilting 
C ,C ,42,A ,1314,,,,,,6/18/24,,
C ,C ,42,B ,888,,,,,,,,10/9 sprouting new leaves 9/3 heavy herbivory 
C ,C ,43,A ,73,,,,,,,,
C ,C ,43,B ,355,,,,,,6/25/24,,
C ,C ,44,A ,481,,,,,,7/9/24,,
C ,C ,44,B ,1229,,,,,,8/6/24,,
NA ,C ,45,A ,BH_7_7 ,6/18/24,7/9/24,7/16/24,8/13/24,8/20/24,9/24/24,,7/16 one dead stem 8/6 reproductive stem broke 8/20 tape 
C ,C ,45,B ,1121,,,,,,8/13/24,,
C ,C ,46,A ,452,,,,,,9/3/24,,
C ,C ,46,B ,20,,,,,,6/25/24,,
C ,C ,47,A ,187,,,,,,7/9/24,,
NA ,C ,47,B ,IH_2_7 ,7/9/24,7/23/24,7/30/24,8/27/24,8/27/24,8/27/24,,8/20 tape 8/27 branch Snopped 
C ,C ,48,A ,361,,,,,,7/23/24,,7/9 wilting 
C ,C ,48,B ,243,,,,,,7/2/24,,
C ,C ,49,A ,1187,,,,,,,,
C ,C ,49,B ,201,,,,,,6/25/24,,
C ,C ,50,A ,907,,,,,,7/2/24,,
C ,C ,50,B ,404,,,,,,,,
C ,C ,51,A ,NA ,,,,,,,,
C ,C ,51,B ,NA ,,,,,,,,
D ,C ,52,A ,1409,,,,,,,,
D ,C ,52,B ,74,,,,,,,,
D ,C ,53,A ,248,,,,,,7/16/24,,
NA ,C ,53,B ,IH_3_8 ,,,,,,6/18/24,,
D ,C ,54,A ,1255,,,,,,9/24/24,,9/17 drying 
NA ,C ,54,B ,TM2_1_14 ,,,,,,,,TM2 Fruiting from 2023 / one seedling 
NA ,C ,55,A ,YO7_1_4 ,6/18/24,6/18/24,7/2/24,7/30/24,8/6/24,9/3/24,,Dying buds 8/13/24 dehissed 
D ,C ,55,B ,1124,,,,,,7/2/24,,6/25/24 almost dead no leaves 
D ,C ,56,A ,739,,,,,,7/23/24,,
D ,C ,56,B ,1241,,,,,,6/25/24,,
D ,C ,57,A ,34,,,,,,6/25/24,,6/18/24 wilting 
D ,C ,57,B ,453,,,,,,7/2/24,,
D ,C ,58,A ,395,,,,,,,,10/9 heavy herbivory and leaves dying
D ,C ,58,B ,267,,,,,,7/2/24,,6/25/24 wilting 
D ,C ,59,A ,buffer ,,,,,,,,
D ,C ,59,B ,buffer ,,,,,,,,
D ,C ,60,A ,buffer ,,,,,,,,
D ,C ,60,B ,buffer ,,,,,,,,
A ,C ,1,C ,buffer ,,,,,,,,
A ,C ,1,D ,buffer ,,,,,,,,
NA ,C ,2,C ,SC_5_6 ,NA ,7/23/24,7/30/24,8/27/24,8/27/24,,,mistakenly coded as buffer before in 7/23 8/20 tape /10/2 new flowers and buds; initial fruit failed ; 10/9 taped
NA ,C ,2,D ,CC_9_6,NA ,NA ,7/23/24,8/27/24,8/27/24,,,mistakenly coded as buffer before 7/23 8/20 tape/10/2 new flowers and buds; 10/9 taped
A ,C ,3,C ,buffer ,,,,,,,,
A ,C ,3,D ,87,,,,,,6/25/24,,6/18/24 wilting 
A ,C ,4,C ,987,,,,,,6/25/24,,6/18/24 wilting 
A ,C ,4,D ,buffer ,,,,,,,,not a buffer/actually a rock 
A ,C ,5,C ,666,,,,,,6/25/24,,6/18/24 wilting 
A ,C ,5,D ,1185,,,,,,7/23/24,,7/9/24 wilted 
A ,C ,6,C ,1227,,,,,,7/2/24,,6/25/24 wilting 
A ,C ,6,D ,487,,,,,,7/2/24,,6/18/24 wilting 
A ,C ,7,C ,1172,,,,,,6/18/24,,
A ,C ,7,D ,1127,,,,,,6/18/24,,
A ,C ,8,C ,167,,,,,,7/9/24,,6/25/24 wilting 
A ,C ,8,D ,NA ,,,,,,,,
A ,C ,9,C ,752,,,,,,7/9/24,,7/2 wilting 
A ,C ,9,D ,886,,,,,,7/16/24,,
A ,C ,10,C ,303,,,,,,7/16/24,,7/9 wilted 
NA ,C ,10,D ,BH_3_6 ,,,,,,7/16/24,,6/18/24 No tag/ 7/2 stem broken at base 
A ,C ,11,C ,763,,,,,,7/2/24,,6/25/24 wilting 
A ,C ,11,D ,1397,,,,,,7/16/24,,6/25/24 wilting 
A ,C ,12,C ,1286,,,,,,7/2/24,,6/25/24 wilting 
A ,C ,12,D ,1,,,,,,6/18/24,,
A ,C ,13,C ,736,,,,,,7/23/24,,7/9/24 wilting 
A ,C ,13,D ,1245,,,,,,6/25/24,,
A ,C ,14,C ,149,,,,,,6/25/24,,6/18/24 wilting 
A ,C ,14,D ,1423,,,,,,7/16/24,,7/9/24 wilting 
A ,C ,15,C ,41,,,,,,7/2/24,,6/25/24 wilting 
A ,C ,15,D ,560,,,,,,6/18/24,,
A ,C ,16,C ,130,,,,,,6/25/24,,
A ,C ,16,D ,932,,,,,,6/25/24,,6/18/24 wilting 
A ,C ,17,C ,371,,,,,,7/2/24,,
A ,C ,17,D ,600,,,,,,6/18/24,,
A ,C ,18,C ,NA ,,,,,,,,
A ,C ,18,D ,NA ,,,,,,,,
B ,C ,19,C ,309,,,,,,7/23/24,,7/16/24 wilting 
B ,C ,19,D ,298,,,,,,8/20/24,,6/18/24 dead at planting 
B ,C ,20,C ,790,,,,,,8/20/24,,Very wilted 
B ,C ,20,D ,1123,,,,,,7/2/24,,6/18/24 wilting 
B ,C ,21,C ,1311,,,,,,7/9/24,,7/2 wilting 
B ,C ,21,D ,1186,,,,,,7/9/24,,6/25/24 wilting 
B ,C ,22,C ,88,,,,,,6/25/24,,6/18/24 wilting 
B ,C ,22,D ,737,,,,,,,,
B ,C ,23,C ,170,,,,,,7/2/24,,6/25/24 wilting 
NA ,C ,23,D ,TM2_4_12 ,6/18/24,7/16/24,7/23/24,8/20/24,8/20/24,9/3/24,,Crispy flowers 8/20 tape 
B ,C ,24,C ,1243,,,,,,7/16/24,,7/9 wilted 
B ,C ,24,D ,99,,,,,,6/18/24,,
B ,C ,25,C ,364,,,,,,8/6/24,,7/23 wilted 
B ,C ,25,D ,1108,,,,,,7/9/24,,7/2 wilting 
B ,C ,28,C ,251,,,,,,10/16/24,,9/24 middle stem dead 9/3 middle of main stem dead? 10/9 leaves wilting 
B ,C ,28,D ,265,,,,,,,,
B ,C ,29,C ,711,,,,,,,,
B ,C ,29,D ,393,,,,,,7/16/24,,7/9 wilted 
NA ,C ,30,C ,BH_4_7 ,6/25/24,7/9/24,7/16/24,8/27/24,9/3/24,10/16/24,,9/24 near death 8/20 tape 8/27 Side veg brunch /10/2 initial fruit failed
B ,C ,30,D ,961,,,,,,9/17/24,,9/3 leaves dead stem Still turgid 
B ,C ,31,C ,974,,,,,,7/9/24,,
B ,C ,31,D ,853,,,,,,6/25/24,,6/25/24 gone; 9/26/25 changed to death date since size survey says dead
B ,C ,32,C ,859,,,,,,7/2/24,,
NA ,C ,32,D ,TM2_7_12 ,,,,,,,,TM2 Fruiting from 2023 
NA ,C ,33,C ,TM2_2_5 ,,,,,,,,TM2 Fruiting from 2023 
B ,C ,33,D ,832,,,,,,7/2/24,,
B ,C ,34,C ,564,,,,,,7/23/24,,
B ,C ,34,D ,990,,,,,,7/23/24,,wilted 7/16/24 
B ,C ,35,C ,NA ,,,,,,,,
B ,C ,35,D ,NA ,,,,,,,,
B ,C ,36,C ,NA ,,,,,,,,
C ,C ,36,D ,214,,,,,,7/2/24,,6/25/24 roots exposed 
NA ,C ,37,C ,CC_2_7 ,6/18/24,7/2/24,7/16/24,8/27/24,8/27/24,10/2/24,,8/20 tape 
C ,C ,37,D ,714,,,,,,,,
NA ,C ,38,C ,YO7_1_3 ,6/18/24,6/18/24,7/2/24,7/9/24,7/16/24,8/27/24,,8/6 Fruit 2 vegetative branches drving 
C ,C ,38,D ,539,,,,,,,,
C ,C ,39,C ,282,,,,,,8/13/24,,
C ,C ,39,D ,1098,,,,,,7/30/24,,7/23 wilted 
C ,C ,40,C ,489,,,,,,7/23/24,,7/16/24 wilted 
C ,C ,40,D ,126,,,,,,6/18/24,,
C ,C ,41,C ,266,,,,,,7/16/24,,
C ,C ,41,D ,989,,,,,,6/18/24,,
C ,C ,42,C ,174,,,,,,8/6/24,,
C ,C ,42,D ,553,,,,,,6/25/24,,6/18/24 Top Missing 
C ,C ,43,C ,1156,,,,,,,,
C ,C ,43,D ,1048,,,,,,,,
C ,C ,44,C ,1252,,,,,,,,
C ,C ,44,D ,1085,,,,,,,,
C ,C ,45,C ,NA ,,,,,,,,
C ,C ,45,D ,394,,,,,,,,9/24 1 leaf remaining 8/20 plant still alive remove death date 
C ,C ,46,C ,528,,,,,,8/13/24,,6/18/24 Plant Sunk 
C ,C ,46,D ,429,,,,,,6/25/24,,6/18/24 Plant sunk wilting / 6/25/24 gone; 9/26/25 changed to death date since size survey says dead
C ,C ,47,C ,3,,,,,,7/9/24,,
C ,C ,47,D ,1399,,,,,,,,
C ,C ,48,C ,89,,,,,,,,
C ,C ,48,D ,946,,,,,,7/2/24,,6/25/24 wilting 
