"","block","bed","row","col","pop","mf","rep","bud.date_dt","flower.date_dt","fruit.date_dt","last.FL.date_dt","last.FR.date_dt","death.date_dt","site","year","elev_m","Lat","Grw_Ssn_GD","Wtr_Yr_GD","UCD_Y1_Prob_Fruits","WL2_Y2_Prob_Fruits","WL2_ProbFitness","WL2_Total_Fitness","log_WL2_Total_Fitness","Fruits","FrFlw","bud.duration","flower.duration","fruit.duration","total.repro.duration","initiate.repro"
"90","B","A",36,"A","BH",3,4,30,51,58,100,100,136,"WL2",24,511.4294422,37.40985,0.360454942829318,0.566000788895923,NA,1,1,62,4.12713438504509,62,62,21,49,42,70,1
"91","B","A",39,"B","WL2",7,10,30,30,44,100,107,136,"WL2",24,2020.115818,38.8263,0.238347962651242,0.225608628365882,NA,1,1,59,4.07753744390572,59,59,0,70,63,77,1
"92","B","A",45,"B","IH",2,4,44,58,65,107,114,150,"WL2",24,454.1298385,39.09332,0.453128039799304,0.422261684130245,NA,1,1,26,3.25809653802148,26,26,14,49,49,70,1
"93","B","A",49,"A","YO7",7,23,30,30,51,65,72,107,"WL2",24,2469.978665,37.80903,0.353485383279989,0.327814254355139,NA,1,1,75,4.31748811353631,75,75,0,35,21,42,1
"94","B","A",53,"A","CC",4,4,30,44,65,93,100,136,"WL2",24,313,39.58597,0.434901728207555,0.445008521157788,NA,1,1,34,3.52636052461616,34,34,14,49,35,70,1
"95","B","A",53,"B","BH",7,4,37,51,58,86,86,121,"WL2",24,511.4294422,37.40985,0.360454942829318,0.566000788895923,NA,1,1,42,3.73766961828337,42,50,14,35,28,49,1
"96","A","A",14,"D","CC",8,3,30,NA,NA,NA,NA,51,"WL2",24,313,39.58597,0.434901728207555,0.445008521157788,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1
"97","A","A",15,"C","CC",1,3,30,51,58,107,128,NA,"WL2",24,313,39.58597,0.434901728207555,0.445008521157788,NA,1,1,15,2.70805020110221,15,15,21,56,70,98,1
"98","A","A",17,"D","BH",2,3,30,44,51,107,114,NA,"WL2",24,511.4294422,37.40985,0.360454942829318,0.566000788895923,NA,1,1,41,3.71357206670431,41,41,14,63,63,84,1
"99","A","A",22,"D","SC",8,3,30,51,65,107,121,NA,"WL2",24,421.5178299,38.41167,0.449311932209762,0.497069818527665,NA,1,1,24,3.17805383034795,24,24,21,56,56,91,1
"100","B","A",36,"C","SC",2,4,30,44,51,79,79,136,"WL2",24,421.5178299,38.41167,0.449311932209762,0.497069818527665,NA,1,1,19,2.94443897916644,19,19,14,35,28,49,1
"101","B","A",45,"D","SC",4,4,30,44,58,86,86,136,"WL2",24,421.5178299,38.41167,0.449311932209762,0.497069818527665,NA,1,1,28,3.3322045101752,28,28,14,42,28,56,1
"102","B","A",46,"D","SQ1",5,10,37,65,86,107,114,NA,"WL2",24,1921.036585,36.56435,0.159251956053981,0.309679354425004,NA,1,1,2,0.693147180559945,2,2,28,42,28,77,1
"103","B","A",50,"D","IH",6,4,51,58,65,100,100,136,"WL2",24,454.1298385,39.09332,0.453128039799304,0.422261684130245,NA,1,1,18,2.89037175789616,18,18,7,42,35,49,1
"104","B","A",56,"C","IH",1,4,37,65,72,100,100,136,"WL2",24,454.1298385,39.09332,0.453128039799304,0.422261684130245,NA,1,1,10,2.30258509299405,10,10,28,35,28,63,1
"105","B","A",58,"D","YO7",7,13,30,30,44,79,86,107,"WL2",24,2469.978665,37.80903,0.353485383279989,0.327814254355139,NA,1,1,25,3.2188758248682,25,25,0,49,42,56,1
"106","C","B",22,"A","IH",3,5,30,51,65,128,150,NA,"WL2",24,454.1298385,39.09332,0.453128039799304,0.422261684130245,NA,1,1,49,3.89182029811063,49,49,21,77,85,120,1
"107","C","B",25,"A","IH",6,5,30,51,58,157,157,NA,"WL2",24,454.1298385,39.09332,0.453128039799304,0.422261684130245,NA,1,1,16,2.77258872223978,16,16,21,106,99,127,1
"108","C","B",42,"A","BH",2,5,30,44,51,86,86,136,"WL2",24,511.4294422,37.40985,0.360454942829318,0.566000788895923,NA,1,1,53,3.97029191355212,53,53,14,42,35,56,1
"109","C","B",43,"A","BH",5,5,30,44,51,86,86,136,"WL2",24,511.4294422,37.40985,0.360454942829318,0.566000788895923,NA,1,1,61,4.11087386417331,61,61,14,42,35,56,1
"110","B","B",56,"A","SC",6,15,NA,51,65,93,100,136,"WL2",24,421.5178299,38.41167,0.449311932209762,0.497069818527665,NA,1,1,64,4.15888308335967,64,64,NA,42,35,NA,1
"111","D","B",19,"D","CC",2,6,30,44,58,107,114,143,"WL2",24,313,39.58597,0.434901728207555,0.445008521157788,NA,1,1,33,3.49650756146648,33,33,14,63,56,84,1
"112","C","B",28,"C","BH",4,5,30,44,51,107,114,143,"WL2",24,511.4294422,37.40985,0.360454942829318,0.566000788895923,NA,1,1,26,3.25809653802148,26,26,14,63,63,84,1
"113","C","B",45,"C","WL2",1,11,30,30,58,100,107,128,"WL2",24,2020.115818,38.8263,0.238347962651242,0.225608628365882,NA,1,1,39,3.66356164612965,39,39,0,70,49,77,1
"114","C","B",47,"C","YO7",4,6,30,51,58,86,86,128,"WL2",24,2469.978665,37.80903,0.353485383279989,0.327814254355139,NA,1,1,80,4.38202663467388,80,80,21,35,28,56,1
"115","B","B",56,"C","TM2",1,3,51,58,65,93,93,136,"WL2",24,379.1526973,39.59255,0.565547003974015,0.406282424823454,NA,1,1,125,4.8283137373023,125,125,7,35,28,42,1
"116","B","B",57,"D","BH",2,4,30,44,58,79,86,107,"WL2",24,511.4294422,37.40985,0.360454942829318,0.566000788895923,NA,1,1,24,3.17805383034795,24,24,14,35,28,56,1
"117","D","C",6,"A","CC",1,6,30,NA,NA,NA,NA,58,"WL2",24,313,39.58597,0.434901728207555,0.445008521157788,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1
"118","E","C",22,"B","BH",6,7,30,44,51,93,93,136,"WL2",24,511.4294422,37.40985,0.360454942829318,0.566000788895923,NA,1,1,11,2.39789527279837,11,11,14,49,42,63,1
"119","E","C",36,"B","SC",2,19,37,65,79,NA,NA,86,"WL2",24,421.5178299,38.41167,0.449311932209762,0.497069818527665,NA,0,0,NA,NA,NA,NA,28,NA,NA,NA,1
"120","E","C",40,"B","BH",1,7,37,58,65,79,79,136,"WL2",24,511.4294422,37.40985,0.360454942829318,0.566000788895923,NA,1,1,5,1.6094379124341,5,5,21,21,14,42,1
"121","E","C",45,"A","BH",7,7,30,51,58,86,93,128,"WL2",24,511.4294422,37.40985,0.360454942829318,0.566000788895923,NA,1,1,3,1.09861228866811,3,3,21,35,35,63,1
"122","E","C",47,"B","IH",2,7,51,65,72,100,100,100,"WL2",24,454.1298385,39.09332,0.453128039799304,0.422261684130245,NA,1,1,9,2.19722457733622,9,9,14,35,28,49,1
"123","F","C",55,"A","YO7",1,4,30,30,44,72,79,107,"WL2",24,2469.978665,37.80903,0.353485383279989,0.327814254355139,NA,1,1,53,3.97029191355212,53,53,0,42,35,49,1
"124","D","C",2,"C","SC",5,6,NA,65,72,100,100,NA,"WL2",24,421.5178299,38.41167,0.449311932209762,0.497069818527665,NA,1,1,1,0,1,1,NA,35,28,NA,1
"125","D","C",2,"D","CC",9,6,NA,NA,65,100,100,NA,"WL2",24,313,39.58597,0.434901728207555,0.445008521157788,NA,1,1,10,2.30258509299405,10,10,NA,NA,35,NA,1
"126","E","C",23,"D","TM2",4,12,30,58,65,93,93,107,"WL2",24,379.1526973,39.59255,0.565547003974015,0.406282424823454,NA,1,1,19,2.94443897916644,19,19,28,35,28,63,1
"127","E","C",30,"C","BH",4,7,37,51,58,100,107,150,"WL2",24,511.4294422,37.40985,0.360454942829318,0.566000788895923,NA,1,1,11,2.39789527279837,11,11,14,49,49,70,1
"128","E","C",37,"C","CC",2,7,30,44,58,100,100,136,"WL2",24,313,39.58597,0.434901728207555,0.445008521157788,NA,1,1,43,3.76120011569356,43,43,14,56,42,70,1
"129","E","C",38,"C","YO7",1,3,30,30,44,51,58,100,"WL2",24,2469.978665,37.80903,0.353485383279989,0.327814254355139,NA,1,1,3,1.09861228866811,3,3,0,21,14,28,1
"130","G","D",3,"B","IH",5,9,44,72,NA,NA,NA,NA,"WL2",24,454.1298385,39.09332,0.453128039799304,0.422261684130245,NA,0,0,NA,NA,NA,NA,28,NA,NA,NA,1
"131","G","D",19,"A","TM2",7,18,37,65,79,107,157,NA,"WL2",24,379.1526973,39.59255,0.565547003974015,0.406282424823454,NA,0,0,NA,NA,NA,NA,28,42,78,120,1
"132","G","D",19,"B","CC",4,9,37,58,65,NA,NA,100,"WL2",24,313,39.58597,0.434901728207555,0.445008521157788,NA,0,0,NA,NA,NA,NA,21,NA,NA,NA,1
"133","G","D",21,"A","SC",5,9,37,NA,NA,NA,NA,65,"WL2",24,421.5178299,38.41167,0.449311932209762,0.497069818527665,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1
"134","F","D",40,"B","BH",7,8,37,44,58,65,79,107,"WL2",24,511.4294422,37.40985,0.360454942829318,0.566000788895923,NA,1,1,6,1.79175946922805,6,6,7,21,21,42,1
"135","G","D",25,"C","CC",2,9,51,NA,NA,NA,NA,65,"WL2",24,313,39.58597,0.434901728207555,0.445008521157788,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1
"136","G","D",26,"C","SC",8,15,37,65,72,100,100,143,"WL2",24,421.5178299,38.41167,0.449311932209762,0.497069818527665,NA,0,0,NA,NA,NA,NA,28,35,28,63,1
"137","F","D",51,"C","IH",1,8,37,58,65,100,100,150,"WL2",24,454.1298385,39.09332,0.453128039799304,0.422261684130245,NA,1,1,28,3.3322045101752,28,28,21,42,35,63,1
"138","F","D",55,"C","SC",4,8,37,51,65,86,93,136,"WL2",24,421.5178299,38.41167,0.449311932209762,0.497069818527665,NA,1,1,10,2.30258509299405,10,10,14,35,28,56,1
"139","H","E",21,"A","CC",5,10,37,44,58,86,NA,100,"WL2",24,313,39.58597,0.434901728207555,0.445008521157788,NA,1,1,2,0.693147180559945,2,NA,7,42,NA,NA,1
"140","H","E",22,"A","IH",2,10,58,NA,NA,NA,NA,72,"WL2",24,454.1298385,39.09332,0.453128039799304,0.422261684130245,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1
"141","H","E",23,"B","WR",3,2,37,58,65,100,100,136,"WL2",24,1158,39.34346,0.36593495563577,0.355496383184824,NA,1,1,30,3.40119738166216,30,30,21,42,35,63,1
"142","H","E",44,"B","SC",4,10,37,58,58,100,100,NA,"WL2",24,421.5178299,38.41167,0.449311932209762,0.497069818527665,NA,1,1,27,3.29583686600433,27,27,21,42,42,63,1
"143","I","E",46,"B","IH",3,11,44,72,79,100,107,150,"WL2",24,454.1298385,39.09332,0.453128039799304,0.422261684130245,NA,1,1,11,2.39789527279837,11,11,28,28,28,63,1
"144","I","E",47,"A","BH",4,11,37,58,58,86,86,114,"WL2",24,511.4294422,37.40985,0.360454942829318,0.566000788895923,NA,1,1,20,2.99573227355399,20,20,21,28,28,49,1
"145","I","E",48,"A","SC",5,11,37,72,86,100,107,143,"WL2",24,421.5178299,38.41167,0.449311932209762,0.497069818527665,NA,1,1,4,1.38629436111989,4,4,35,28,21,70,1
"146","I","E",49,"A","YO7",4,3,30,37,58,79,86,NA,"WL2",24,2469.978665,37.80903,0.353485383279989,0.327814254355139,NA,1,1,7,1.94591014905531,7,7,7,42,28,56,1
"147","I","E",49,"B","TM2",6,4,37,65,65,100,100,143,"WL2",24,379.1526973,39.59255,0.565547003974015,0.406282424823454,NA,1,1,2,0.693147180559945,2,2,28,35,35,63,1
"148","H","E",20,"D","BH",2,10,37,44,58,86,86,114,"WL2",24,511.4294422,37.40985,0.360454942829318,0.566000788895923,NA,1,1,32,3.46573590279973,32,32,7,42,28,49,1
"149","H","E",23,"D","IH",5,10,37,58,NA,NA,NA,79,"WL2",24,454.1298385,39.09332,0.453128039799304,0.422261684130245,NA,0,0,NA,NA,NA,NA,21,NA,NA,NA,1
"150","H","E",27,"C","BH",4,10,37,58,65,100,107,143,"WL2",24,511.4294422,37.40985,0.360454942829318,0.566000788895923,NA,0,0,NA,NA,NA,NA,21,42,42,70,1
"151","H","E",29,"D","IH",4,10,37,65,72,100,107,NA,"WL2",24,454.1298385,39.09332,0.453128039799304,0.422261684130245,NA,0,0,NA,NA,NA,NA,28,35,35,70,1
"152","H","E",43,"D","IH",1,10,37,65,72,86,86,107,"WL2",24,454.1298385,39.09332,0.453128039799304,0.422261684130245,NA,0,0,NA,NA,NA,NA,28,21,14,49,1
"153","I","E",50,"D","IH",5,11,37,58,65,79,79,100,"WL2",24,454.1298385,39.09332,0.453128039799304,0.422261684130245,NA,1,1,4,1.38629436111989,4,4,21,21,14,42,1
"154","J","F",7,"B","IH",1,12,37,58,NA,NA,NA,NA,"WL2",24,454.1298385,39.09332,0.453128039799304,0.422261684130245,NA,0,0,NA,NA,NA,NA,21,NA,NA,NA,1
"155","I","F",26,"A","WL2",8,4,NA,37,44,65,NA,100,"WL2",24,2020.115818,38.8263,0.238347962651242,0.225608628365882,NA,1,1,5,1.6094379124341,5,5,NA,28,NA,NA,1
"156","I","F",42,"B","CC",3,11,30,58,65,86,86,143,"WL2",24,313,39.58597,0.434901728207555,0.445008521157788,NA,1,1,6,1.79175946922805,6,6,28,28,21,56,1
"157","I","F",43,"B","CC",8,11,37,65,NA,100,NA,121,"WL2",24,313,39.58597,0.434901728207555,0.445008521157788,NA,0,0,NA,NA,NA,NA,28,35,NA,NA,1
"158","I","F",23,"C","SC",2,23,44,65,72,NA,100,121,"WL2",24,421.5178299,38.41167,0.449311932209762,0.497069818527665,NA,1,1,8,2.07944154167984,8,8,21,NA,28,56,1
"159","I","F",43,"C","CC",9,11,30,44,86,86,93,121,"WL2",24,313,39.58597,0.434901728207555,0.445008521157788,NA,1,1,1,0,1,1,14,42,7,63,1
"160","J","G",8,"A","YO7",6,15,30,37,44,86,86,143,"WL2",24,2469.978665,37.80903,0.353485383279989,0.327814254355139,NA,1,1,15,2.70805020110221,15,15,7,49,42,56,1
"161","K","G",31,"A","BH",7,13,37,58,65,NA,NA,79,"WL2",24,511.4294422,37.40985,0.360454942829318,0.566000788895923,NA,0,0,NA,NA,NA,NA,21,NA,NA,NA,1
"162","K","G",37,"A","YO7",7,9,30,37,44,58,93,NA,"WL2",24,2469.978665,37.80903,0.353485383279989,0.327814254355139,NA,0,0,NA,NA,NA,NA,7,21,49,63,1
"163","K","G",43,"A","IH",6,13,37,65,72,100,100,121,"WL2",24,454.1298385,39.09332,0.453128039799304,0.422261684130245,NA,1,1,1,0,1,1,28,35,28,63,1
"164","J","G",5,"D","YO7",5,7,30,51,58,65,72,NA,"WL2",24,2469.978665,37.80903,0.353485383279989,0.327814254355139,NA,1,1,5,1.6094379124341,5,5,21,14,14,42,1
"165","J","G",6,"D","IH",2,12,37,58,65,100,107,157,"WL2",24,454.1298385,39.09332,0.453128039799304,0.422261684130245,NA,1,1,7,1.94591014905531,7,7,21,42,42,70,1
"166","J","G",7,"D","BH",4,12,37,58,58,86,86,107,"WL2",24,511.4294422,37.40985,0.360454942829318,0.566000788895923,NA,1,1,18,2.89037175789616,18,18,21,28,28,49,1
"167","K","G",27,"C","YO7",6,9,30,37,44,86,86,114,"WL2",24,2469.978665,37.80903,0.353485383279989,0.327814254355139,NA,1,1,8,2.07944154167984,8,8,7,49,42,56,1
"168","K","G",32,"D","WL2",7,6,30,44,51,58,100,143,"WL2",24,2020.115818,38.8263,0.238347962651242,0.225608628365882,NA,1,1,3,1.09861228866811,3,4,14,14,49,70,1
"169","K","G",40,"C","BH",2,13,30,44,58,79,86,121,"WL2",24,511.4294422,37.40985,0.360454942829318,0.566000788895923,NA,0,0,NA,NA,NA,NA,14,35,28,56,1
"170","L","H",11,"B","IH",2,1,65,NA,NA,NA,NA,NA,"WL2",24,454.1298385,39.09332,0.453128039799304,0.422261684130245,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1
"171","K","H",31,"A","YO7",4,11,30,30,44,58,93,NA,"WL2",24,2469.978665,37.80903,0.353485383279989,0.327814254355139,NA,1,1,7,1.94591014905531,7,8,0,28,49,63,1
"172","L","H",3,"C","YO7",7,15,30,37,44,58,65,NA,"WL2",24,2469.978665,37.80903,0.353485383279989,0.327814254355139,NA,1,1,12,2.484906649788,12,13,7,21,21,35,1
"173","L","H",12,"C","YO7",4,1,30,30,44,86,86,107,"WL2",24,2469.978665,37.80903,0.353485383279989,0.327814254355139,NA,1,1,12,2.484906649788,12,12,0,56,42,56,1
"174","K","H",24,"D","SC",6,13,37,51,79,100,100,136,"WL2",24,421.5178299,38.41167,0.449311932209762,0.497069818527665,NA,0,0,NA,NA,NA,NA,14,49,21,63,1
"175","M","J",4,"A","YO7",3,8,30,51,51,58,72,128,"WL2",24,2469.978665,37.80903,0.353485383279989,0.327814254355139,NA,1,1,6,1.79175946922805,6,6,21,7,21,42,1
"176","M","J",11,"D","IH",5,2,51,65,72,100,NA,136,"WL2",24,454.1298385,39.09332,0.453128039799304,0.422261684130245,NA,1,1,3,1.09861228866811,3,3,14,35,NA,NA,1
"177","M","K",10,"A","YO7",1,2,30,37,44,58,72,100,"WL2",24,2469.978665,37.80903,0.353485383279989,0.327814254355139,NA,1,1,15,2.70805020110221,15,15,7,21,28,42,1
"178","M","K",13,"A","CC",1,2,30,51,58,100,107,157,"WL2",24,313,39.58597,0.434901728207555,0.445008521157788,NA,1,1,9,2.19722457733622,9,9,21,49,49,77,1
"179","M","K",2,"C","YO7",5,13,30,37,51,65,72,100,"WL2",24,2469.978665,37.80903,0.353485383279989,0.327814254355139,NA,1,1,6,1.79175946922805,6,6,7,28,21,42,1
